Date,Open,High,Low,Close,Volume,OpenInt
2007-12-14,70.5,73.385,69.261,69.885,4454513,0
2007-12-17,69.625,72.025,69.234,71.306,5044393,0
2007-12-18,72.163,72.407,65.66,70.171,5157036,0
2007-12-19,71.082,71.687,68.483,69.461,2384959,0
2007-12-20,69.652,76.556,69.331,76.556,4978079,0
2007-12-21,77.779,77.779,74.815,75.074,3964885,0
2007-12-24,75.846,79.034,75.117,78.066,1938904,0
2007-12-26,78.074,79.286,77.284,79.111,2429588,0
2007-12-27,79.424,82.058,78.749,80.48,3760923,0
2007-12-28,81.579,82.369,79.961,80.889,4129561,0
2007-12-31,80.394,81.487,78.749,79.614,2275917,0
2008-01-02,80.792,81.173,77.889,79.952,4249747,0
2008-01-03,81.53,84.265,80.792,82.465,5344505,0
2008-01-04,81.018,81.867,79.501,80.525,4411047,0
2008-01-07,81.226,82.751,77.032,79.33,6902945,0
2008-01-08,79.858,80.178,73.307,74.581,7279518,0
2008-01-09,77.769,78.94,67.512,75.117,14588418,0
2008-01-10,74.243,79.622,72.346,78.94,8089213,0
2008-01-11,77.992,84.362,77.992,83.729,8113577,0
2008-01-14,86.457,92.993,85.923,92.432,9418242,0
2008-01-15,90.788,91.476,83.676,85.454,9245240,0
2008-01-16,81.891,85.365,73.489,77.397,14557978,0
2008-01-17,75.051,76.34,65.832,68.362,18370471,0
2008-01-18,69.869,71.118,65.857,67.529,11949213,0
2008-01-22,60.687,69.419,59.921,67.765,12088864,0
2008-01-23,65.285,70.413,59.939,68.362,13496422,0
2008-01-24,73.61,77.803,72.216,77.018,12149484,0
2008-01-25,81.216,82.706,75.698,77.137,10574421,0
2008-01-28,76.019,79.33,75.108,78.238,5929541,0
2008-01-29,79.952,80.576,76.981,78.066,5909200,0
2008-01-30,77.829,79.942,73.94,75.066,6417170,0
2008-01-31,72.589,77.953,71.739,76.738,6150163,0
2008-02-01,77.447,79.727,76.661,78.886,5971506,0
2008-02-04,79.658,83.235,78.914,83.088,5628233,0
2008-02-05,83.088,85.151,77.734,78.229,9214357,0
2008-02-06,78.932,82.386,78.238,78.859,7172772,0
2008-02-07,76.807,81.018,74.356,79.121,7722872,0
2008-02-08,80.368,81.651,78.981,81.208,5211766,0
2008-02-11,82.456,84.189,81.018,83.998,4904136,0
2008-02-12,85.938,89.597,83.626,84.742,9099628,0
2008-02-13,86.907,86.907,82.977,84.431,5784916,0
2008-02-14,85.523,88.816,85.523,87.291,5836678,0
2008-02-15,86.407,87.767,84.492,87.237,4331130,0
2008-02-19,89.446,94.298,89.073,92.441,8936186,0
2008-02-20,91.898,96.871,90.923,96.235,7365882,0
2008-02-21,97.512,97.884,93.339,94.298,7920335,0
2008-02-22,93.755,94.298,89.878,91.963,7037196,0
2008-02-25,92.387,99.1,90.95,98.793,9092020,0
2008-02-26,98.409,101.09,96.463,97.6,8012203,0
2008-02-27,94.997,99.72,93.772,95.507,9418967,0
2008-02-28,94.958,96.454,94.28,95.43,6860478,0
2008-02-29,95.158,97.493,92.377,93.941,7841648,0
2008-03-03,92.846,95.449,91.36,94.465,6784092,0
2008-03-04,93.706,96.753,88.442,91.928,8702181,0
2008-03-05,92.367,94.929,90.769,93.368,8138976,0
2008-03-06,93.687,95.756,92.856,94.063,5366723,0
2008-03-07,92.091,94.1,87.767,87.818,7420168,0
2008-03-10,87.108,87.108,80.004,80.48,9528781,0
2008-03-11,83.998,90.356,82.482,90.356,9112152,0
2008-03-12,90.713,92.586,87.169,89.552,6378918,0
2008-03-13,86.017,92.837,85.663,91.935,6885710,0
2008-03-14,93.893,94.864,87.983,90.504,5714319,0
2008-03-17,86.362,89.421,84.179,86.847,4932776,0
2008-03-18,89.429,92.658,87.369,92.658,5598161,0
2008-03-19,91.369,91.369,81.399,82.073,9817549,0
2008-03-20,80.991,82.073,75.344,77.647,13951335,0
2008-03-24,80.532,83.279,77.855,78.757,8496523,0
2008-03-25,81.762,84.328,81.018,83.054,8016635,0
2008-03-26,82.532,86.926,82.43,86.884,5764680,0
2008-03-27,85.089,89.119,84.839,88.34,6408310,0
2008-03-28,90.521,91.972,88.027,88.954,4953955,0
2008-03-31,88,90.985,82.993,86.587,6539537,0
2008-04-01,87.144,88.095,80.178,85.618,13605350,0
